word,cefr_level,arabic_meaning,english_definition
apple,A1,تفاحة,A round fruit with red or green skin
book,A1,كتاب,A set of written pages
house,A1,منزل,A building for living
water,A1,ماء,A liquid for drinking
school,A1,مدرسة,A place for learning
market,A2,سوق,A place to buy and sell goods
travel,A2,يسافر,To go from one place to another
window,A2,نافذة,An opening in a wall for light
garden,A2,حديقة,A place for growing plants
kitchen,A2,مطبخ,A room for cooking
improve,B1,يحسن,To become better
decide,B1,يقرر,To choose after thinking
include,B1,يتضمن,To contain as part
discover,B1,يكتشف,To find something new
support,B1,يدعم,To help someone
